ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,0,7,0,-7
1,1,0,24,0,-24
2,0,0,5,0,-5
3,1,1,640,1541,901
4,0,0,5,0,-5
5,1,0,15,0,-15
6,1,0,154,0,-154
7,1,0,2,0,-2
8,0,0,116,0,-116
9,0,0,29,0,-29
10,1,1,741,1209,468
11,1,0,3,0,-3
12,1,1,254,1537,1283
13,1,0,31,0,-31
14,1,0,9,0,-9
15,0,0,144,0,-144
16,0,0,46,0,-46
17,0,0,4,0,-4
18,0,0,4,0,-4
19,0,0,22,0,-22
20,1,1,552,1279,727
21,0,0,204,0,-204
22,1,0,168,0,-168
23,1,1,66,1867,1801
24,1,0,7,0,-7
25,1,1,291,1697,1406
26,1,0,32,0,-32
27,1,1,978,1666,688
28,1,0,67,0,-67
29,1,0,141,0,-141
30,1,1,315,1336,1021
31,0,0,245,0,-245
32,1,1,443,1295,852
33,0,0,78,0,-78
34,1,0,32,0,-32
35,1,0,16,0,-16
36,0,0,20,0,-20
37,0,0,51,0,-51
38,0,0,9,0,-9
39,1,0,60,0,-60
40,1,1,119,1709,1590
41,0,0,53,0,-53
42,1,0,0,0,0
43,0,0,7,0,-7
44,0,0,1,0,-1
45,0,0,118,0,-118
46,0,0,4,0,-4
47,1,0,14,0,-14
48,0,0,32,0,-32
49,0,0,0,0,0
50,0,0,69,0,-69
51,1,1,17,1371,1354
52,0,0,9,0,-9
53,0,0,142,0,-142
54,0,0,173,0,-173
55,1,1,766,1971,1205
56,1,0,20,0,-20
57,0,0,25,0,-25
58,0,0,41,0,-41
59,0,0,17,0,-17
60,1,0,8,0,-8
61,0,0,154,0,-154
62,1,1,477,1497,1020
63,1,0,19,0,-19
64,1,0,117,0,-117
65,0,0,14,0,-14
66,1,0,44,0,-44
67,1,1,621,1371,750
68,0,0,234,0,-234
69,0,0,47,0,-47
70,0,0,36,0,-36
71,1,1,314,1419,1105
72,1,1,101,1208,1107
73,1,1,681,1380,699
74,1,0,5,0,-5
75,1,0,2,0,-2
76,1,1,1413,1365,-48
77,0,0,65,0,-65
78,0,0,111,0,-111
79,1,1,350,1262,912
80,0,0,8,0,-8
81,0,0,6,0,-6
82,0,0,13,0,-13
83,0,0,48,0,-48
84,1,1,822,2342,1520
85,1,1,234,1414,1180
86,0,0,62,0,-62
87,1,0,50,0,-50
88,1,1,484,1614,1130
89,0,0,143,0,-143
90,1,0,84,0,-84
91,1,0,46,0,-46
92,1,1,1060,1343,283
93,0,0,34,0,-34
94,1,0,218,0,-218
95,0,0,2,0,-2
96,0,0,8,0,-8
97,0,0,86,0,-86
98,0,0,39,0,-39
99,1,0,5,0,-5
100,0,0,6,0,-6
101,1,1,218,2075,1857
102,1,0,64,0,-64
103,1,1,1826,1212,-614
104,0,0,13,0,-13
105,1,1,128,1214,1086
106,1,1,117,1200,1083
107,1,0,26,0,-26
108,1,1,606,1446,840
109,0,0,11,0,-11
110,0,0,103,0,-103
111,1,0,3,0,-3
112,0,0,52,0,-52
113,1,1,191,1318,1127
114,1,1,1135,1516,381
115,1,1,930,1479,549
116,0,0,149,0,-149
117,1,0,32,0,-32
118,1,0,88,0,-88
119,1,1,499,1261,762
120,1,1,48,1792,1744
121,1,1,865,1231,366
122,1,1,340,1339,999
123,0,0,34,0,-34
124,0,0,32,0,-32
125,1,0,49,0,-49
126,0,0,24,0,-24
127,0,0,24,0,-24
128,0,0,72,0,-72
129,0,0,3,0,-3
130,0,0,124,0,-124
131,1,1,159,1344,1185
132,0,0,21,0,-21
133,1,0,70,0,-70
134,0,0,38,0,-38
135,1,1,283,2305,2022
136,1,1,78,1418,1340
137,1,0,92,0,-92
138,1,0,13,0,-13
139,1,0,120,0,-120
140,1,0,15,0,-15
141,0,0,29,0,-29
142,0,0,16,0,-16
143,1,0,264,0,-264
144,1,1,1841,1844,3
145,1,1,366,1345,979
146,1,0,27,0,-27
147,1,0,28,0,-28
148,1,0,159,0,-159
149,0,0,247,0,-247
150,0,0,143,0,-143
151,0,0,43,0,-43
152,1,1,433,1358,925
153,1,1,524,1409,885
154,1,1,2867,1905,-962
155,1,1,43,1380,1337
156,1,0,49,0,-49
157,1,0,13,0,-13
158,1,0,67,0,-67
159,1,0,2,0,-2
160,1,1,215,1410,1195
161,1,0,51,0,-51
162,0,0,25,0,-25
163,0,0,56,0,-56
164,1,0,126,0,-126
165,0,0,9,0,-9
166,0,0,89,0,-89
167,1,0,54,0,-54
168,1,1,3,1616,1613
169,0,0,42,0,-42
170,0,0,9,0,-9
171,0,0,38,0,-38
172,1,1,260,1319,1059
173,1,0,148,0,-148
174,0,0,19,0,-19
175,0,0,88,0,-88
176,1,1,295,1250,955
177,0,0,28,0,-28
178,0,0,11,0,-11
179,0,0,3,0,-3
180,1,0,49,0,-49
181,0,0,92,0,-92
182,1,1,8,1585,1577
183,1,0,33,0,-33
184,0,0,76,0,-76
185,0,0,51,0,-51
186,1,0,75,0,-75
187,1,1,56,1409,1353
188,1,1,437,1564,1127
189,0,0,66,0,-66
190,1,1,149,1458,1309
191,1,0,10,0,-10
192,1,0,10,0,-10
193,1,1,285,1291,1006
194,0,0,7,0,-7
195,0,0,39,0,-39
196,0,0,122,0,-122
197,0,0,82,0,-82
198,0,0,13,0,-13
199,0,0,53,0,-53
200,1,0,0,0,0
201,0,0,31,0,-31
202,1,0,17,0,-17
203,0,0,102,0,-102
204,1,1,191,1259,1068
205,0,0,53,0,-53
206,1,0,11,0,-11
207,0,0,19,0,-19
208,0,0,97,0,-97
209,1,0,20,0,-20
210,1,1,1098,1677,579
211,0,0,17,0,-17
212,0,0,62,0,-62
213,0,0,40,0,-40
214,1,0,84,0,-84
215,1,1,357,1446,1089
216,0,0,10,0,-10
217,1,1,180,1716,1536
218,0,0,86,0,-86
219,0,0,77,0,-77
220,1,0,76,0,-76
221,1,1,883,1379,496
222,1,1,143,1316,1173
223,0,0,9,0,-9
224,1,0,25,0,-25
225,1,1,21,1215,1194
226,0,0,12,0,-12
227,1,1,765,1287,522
228,1,1,249,1727,1478
229,1,1,555,2930,2375
230,1,0,19,0,-19
231,1,1,284,1242,958
232,1,0,123,0,-123
233,1,0,69,0,-69
234,0,0,93,0,-93
235,0,0,1,0,-1
236,0,0,143,0,-143
237,1,1,83,1289,1206
238,0,0,90,0,-90
239,1,1,215,1345,1130
240,0,0,8,0,-8
241,0,0,153,0,-153
242,1,0,11,0,-11
243,0,0,27,0,-27
244,0,0,19,0,-19
245,1,1,747,1761,1014
246,0,0,84,0,-84
247,0,0,31,0,-31
248,1,1,1307,1760,453
249,0,0,74,0,-74
250,0,0,100,0,-100
251,0,0,47,0,-47
252,0,0,45,0,-45
253,1,0,4,0,-4
254,1,1,1309,1462,153
255,1,0,22,0,-22
256,1,1,293,1321,1028
257,1,0,25,0,-25
258,0,0,55,0,-55
259,0,0,25,0,-25
260,0,0,251,0,-251
261,1,1,177,1350,1173
262,1,1,524,1615,1091
263,1,0,30,0,-30
264,0,0,52,0,-52
265,1,0,18,0,-18
266,1,0,56,0,-56
267,1,0,18,0,-18
268,0,0,55,0,-55
269,1,0,12,0,-12
270,0,0,83,0,-83
271,1,0,35,0,-35
272,1,1,715,1618,903
273,0,0,11,0,-11
274,1,1,270,1401,1131
275,0,0,9,0,-9
276,1,1,533,1696,1163
277,1,0,9,0,-9
278,0,0,10,0,-10
279,0,0,6,0,-6
280,0,0,33,0,-33
281,1,0,17,0,-17
282,1,1,935,1773,838
283,0,0,30,0,-30
284,1,1,569,1711,1142
285,1,0,190,0,-190
286,1,1,854,1606,752
287,1,1,274,1514,1240
288,1,1,59,1860,1801
289,1,0,22,0,-22
290,0,0,14,0,-14
291,0,0,81,0,-81
292,1,1,315,2061,1746
293,1,1,416,1267,851
294,1,0,118,0,-118
295,1,0,22,0,-22
296,1,1,721,2062,1341
297,1,1,490,2658,2168
298,1,0,85,0,-85
299,1,0,25,0,-25
300,1,1,1414,1231,-183
301,0,0,28,0,-28
302,1,1,1052,1655,603
303,1,0,2,0,-2
304,1,1,760,1253,493
305,1,0,24,0,-24
306,1,0,20,0,-20
307,1,0,33,0,-33
308,1,0,22,0,-22
309,0,0,9,0,-9
310,0,0,265,0,-265
311,1,0,0,0,0
312,0,0,87,0,-87
313,1,1,1517,2904,1387
314,1,0,22,0,-22
315,0,0,89,0,-89
316,1,1,1307,1201,-106
317,1,0,0,0,0
318,1,1,435,1390,955
319,1,0,12,0,-12
320,1,0,3,0,-3
321,1,0,145,0,-145
322,0,0,94,0,-94
323,1,1,522,1304,782
324,1,1,133,1265,1132
325,1,1,112,1372,1260
326,1,1,415,2056,1641
327,1,0,22,0,-22
328,1,1,925,1214,289
329,0,0,50,0,-50
330,0,0,65,0,-65
331,0,0,0,0,0
332,1,1,396,1864,1468
333,0,0,81,0,-81
334,1,1,397,1476,1079
335,1,1,455,1980,1525
336,0,0,63,0,-63
337,1,0,5,0,-5
338,0,0,8,0,-8
339,1,0,57,0,-57
340,1,0,55,0,-55
341,0,0,22,0,-22
342,0,0,6,0,-6
343,1,1,218,1944,1726
344,1,0,13,0,-13
345,0,0,82,0,-82
346,1,1,70,1348,1278
347,1,1,603,1720,1117
348,0,0,46,0,-46
349,0,0,8,0,-8
350,1,0,28,0,-28
351,1,1,1392,1233,-159
352,1,0,35,0,-35
353,1,0,45,0,-45
354,0,0,6,0,-6
355,0,0,34,0,-34
356,0,0,0,0,0
357,0,0,92,0,-92
358,0,0,57,0,-57
359,1,0,39,0,-39
360,1,1,362,1565,1203
361,1,0,1,0,-1
362,0,0,44,0,-44
363,0,0,65,0,-65
364,0,0,93,0,-93
365,1,1,378,1925,1547
366,1,0,84,0,-84
367,1,1,503,1436,933
368,0,0,7,0,-7
369,1,0,186,0,-186
370,1,1,747,1297,550
