ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,1,337,1295,958
1,1,1,740,1578,838
2,0,0,32,0,-32
3,1,1,269,1279,1010
4,1,1,298,1381,1083
5,1,1,3846,1840,-2006
6,1,0,91,0,-91
7,0,0,8,0,-8
8,1,0,9,0,-9
9,0,0,133,0,-133
10,1,1,335,1274,939
11,0,0,62,0,-62
12,1,0,104,0,-104
13,1,1,422,1511,1089
14,1,1,252,1975,1723
15,1,1,899,1247,348
16,1,1,1481,1324,-157
17,1,1,366,1638,1272
18,0,0,1,0,-1
19,0,0,65,0,-65
20,1,0,53,0,-53
21,0,0,18,0,-18
22,0,0,103,0,-103
23,1,1,1076,2160,1084
24,1,0,52,0,-52
25,1,1,594,1638,1044
26,0,0,40,0,-40
27,0,0,117,0,-117
28,1,1,873,1954,1081
29,0,0,34,0,-34
30,1,0,17,0,-17
31,1,1,509,1275,766
32,0,0,26,0,-26
33,1,1,1088,1657,569
34,1,0,105,0,-105
35,1,1,206,2828,2622
36,1,0,0,0,0
37,1,0,18,0,-18
38,1,1,306,2558,2252
39,0,0,120,0,-120
40,1,0,31,0,-31
41,1,1,267,3022,2755
42,0,0,4,0,-4
43,1,1,17,1300,1283
44,1,1,69,1242,1173
45,1,1,919,1259,340
46,0,0,24,0,-24
47,1,1,440,1311,871
48,0,0,50,0,-50
49,1,1,510,1342,832
50,0,0,45,0,-45
51,0,0,75,0,-75
52,1,1,301,1398,1097
53,0,0,45,0,-45
54,1,0,91,0,-91
55,1,1,72,1549,1477
56,0,0,95,0,-95
57,1,0,0,0,0
58,1,1,575,1477,902
59,1,1,394,1359,965
60,0,0,36,0,-36
61,1,0,45,0,-45
62,1,1,1457,1249,-208
63,1,0,92,0,-92
64,1,0,82,0,-82
65,0,0,2,0,-2
66,0,0,21,0,-21
67,1,1,438,1509,1071
68,1,1,150,1707,1557
69,1,0,17,0,-17
70,1,0,88,0,-88
71,1,1,141,1638,1497
72,1,0,25,0,-25
73,0,0,5,0,-5
74,0,0,3,0,-3
75,0,0,85,0,-85
76,1,1,1355,1260,-95
77,1,0,30,0,-30
78,0,0,51,0,-51
79,1,0,55,0,-55
80,1,1,1028,1326,298
81,1,0,0,0,0
82,0,0,11,0,-11
83,0,0,8,0,-8
84,0,0,35,0,-35
85,1,1,176,1490,1314
86,0,0,51,0,-51
87,1,0,14,0,-14
88,1,0,28,0,-28
89,0,0,44,0,-44
90,1,0,38,0,-38
91,1,1,642,1378,736
92,1,0,105,0,-105
93,1,1,322,1681,1359
94,1,1,1136,1954,818
95,1,0,56,0,-56
96,1,1,1928,1308,-620
97,1,1,1990,1760,-230
98,1,1,153,1332,1179
99,1,1,236,1260,1024
100,1,1,163,1360,1197
101,0,0,3,0,-3
102,1,1,427,1510,1083
103,0,0,215,0,-215
104,0,0,31,0,-31
105,0,0,51,0,-51
106,0,0,78,0,-78
107,0,0,7,0,-7
108,1,1,873,1406,533
109,1,1,1486,1515,29
110,1,1,318,1353,1035
111,1,0,27,0,-27
112,0,0,55,0,-55
113,1,0,12,0,-12
114,1,0,3,0,-3
115,1,0,1,0,-1
116,0,0,49,0,-49
117,1,1,223,1605,1382
118,0,0,17,0,-17
119,1,1,250,2689,2439
120,0,0,127,0,-127
121,1,1,43,1670,1627
122,0,0,41,0,-41
123,1,0,125,0,-125
124,0,0,14,0,-14
125,1,1,93,1388,1295
126,0,0,4,0,-4
127,1,0,44,0,-44
128,1,1,301,1500,1199
129,0,0,9,0,-9
130,0,0,47,0,-47
131,1,0,21,0,-21
132,1,1,826,1523,697
133,0,0,3,0,-3
134,0,0,155,0,-155
135,1,1,1165,1293,128
136,0,0,16,0,-16
137,1,1,434,1324,890
138,0,0,34,0,-34
139,0,0,14,0,-14
140,0,0,8,0,-8
141,0,0,17,0,-17
142,0,0,78,0,-78
143,1,1,63,1351,1288
144,0,0,49,0,-49
