ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,46,20413.712858939693,0.0017545054589755687,1,92,7442,1341,8691
1,23,22748.172897307853,0.03332817286524341,1,294,5677,2594,7977
2,20,28320.010581984443,0.05580854891880099,1,165,6474,1620,7929
3,40,36877.2423477032,0.5611230510680686,1,124,6419,1395,7690
4,44,23286.550009206076,0.05028243327411536,1,326,6801,1354,7829
5,18,22964.274511430915,0.13073802458435663,1,165,6538,1639,8012
6,32,26561.256496015274,0.06254601325779509,0,9,0,0,-9
7,41,33426.27376955742,0.07720088588767987,1,147,6917,1933,8703
8,19,20982.36966446632,0.027030094113198642,1,374,8251,1561,9438
9,75,24648.46720502241,0.15095931488357717,1,195,5559,1602,6966
10,21,45075.96249473604,0.2346358611054139,0,49,0,0,-49
11,54,22828.193757215886,0.033108223647500545,1,105,6365,3005,9265
12,41,23065.968531159055,0.08712095610040116,1,767,6982,1341,7556
13,47,21453.81157416269,0.12768402223104855,1,873,8191,1565,8883
14,52,23253.757521280295,0.28131316186249816,0,70,0,0,-70
15,21,22027.58277310422,0.19678928374352353,1,104,7299,1375,8570
16,31,25488.71555823188,0.05794243310613831,1,557,7836,1375,8654
17,22,45219.8836289009,0.06042269911386904,1,197,5494,3394,8691
18,29,20074.36050629416,0.012456614312110042,1,60,6887,1641,8468
19,62,23405.822354646265,0.12514326127914727,1,299,13959,2035,15695
20,21,44820.05969098234,0.23397345684528925,1,1098,20536,4741,24179
21,29,22893.523130491387,0.16453802708077897,1,526,7101,1713,8288
22,38,32360.255425217885,0.05420821258193788,1,695,16778,1703,17786
23,64,28906.646919678034,0.046320844100739264,1,612,14861,2934,17183
24,18,22982.789015998693,0.14964580508504516,1,438,8269,1495,9326
25,18,20052.45122425672,0.005909020349665247,1,397,5262,1501,6366
26,32,20334.05135846574,0.19905115345310637,1,840,29271,2237,30668
27,49,30896.300657598462,0.026864570064985868,1,688,6246,1558,7116
28,54,26056.076009781722,0.13121355243520258,1,280,5556,1949,7225
29,70,41199.87263596252,0.0923562848811531,0,113,0,0,-113
30,21,36327.143322338554,0.043567621432450764,1,237,7252,1910,8925
