ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,25,23861.96118399597,0.043428452577492636,1,356,15092,1843,16579
1,68,33745.657444518634,0.013480113659052396,1,254,6836,1763,8345
2,26,33695.9025779182,0.04926451785128687,1,120,5792,1538,7210
3,36,23413.65375962525,0.033032338200081474,1,261,6586,1727,8052
4,64,37416.53174129569,0.16599025151068075,1,487,8825,1731,10069
5,57,20777.5895001503,0.3615936440334045,1,326,10254,1562,11490
6,34,28653.695695950766,0.11759771224541793,0,71,0,0,-71
7,66,40659.06823405751,0.0006826050909507224,1,440,7977,6173,13710
8,26,22916.818170201303,0.22767379702605653,1,554,5438,4008,8892
9,35,21334.503215753004,0.20626026007953716,1,1558,9438,1506,9386
10,26,86426.3887823039,0.07853890687146821,1,25,65774,1740,67489
11,56,20156.767057756155,0.18507263029190207,0,30,0,0,-30
12,38,43209.045524845285,0.13645657939552164,1,770,9869,1714,10813
13,55,20663.740889838937,0.05355650138712047,1,167,7882,2513,10228
14,47,25214.55199494864,0.11828020910936458,0,92,0,0,-92
15,26,22494.926876674537,0.14657993709680142,1,619,5341,3055,7777
16,46,38841.026793912555,0.36947937667685943,1,175,5610,2581,8016
17,40,39725.356137015166,0.020774562767701753,1,550,5825,1655,6930
18,40,22057.561620528908,0.4005191946655731,0,141,0,0,-141
19,26,32069.352403489258,0.21123977197318775,1,154,5818,1517,7181
20,23,21123.172936021114,0.1405365883759639,1,729,9355,2475,11101
21,21,26311.178300018637,0.008061579146893975,1,248,6044,1739,7535
22,25,35124.44287587974,0.13426493863206396,1,114,8020,7071,14977
23,39,40497.470271583246,0.25348093604441574,1,468,7671,1544,8747
24,19,28372.65718204537,0.030288747285875394,1,1320,7701,1990,8371
25,68,31507.65401003499,0.034523222811663166,1,687,5889,1889,7091
26,18,35724.551411678636,0.156052944101855,1,659,7252,1487,8080
27,44,39176.92322918513,0.14822321590396795,1,1504,5332,1907,5735
28,21,23028.745387749896,0.23608242625067324,1,140,10100,1538,11498
29,21,22352.411310076073,0.043640389793370545,1,332,6071,1459,7198
30,19,20350.68351516045,0.2889283376158184,0,4,0,0,-4
31,29,21845.435721619426,0.32342740570221384,0,54,0,0,-54
32,33,24691.648027412,0.05171654691581872,1,633,6837,2978,9182
33,20,23389.425922052607,0.02753225639596282,0,24,0,0,-24
34,40,22543.939237684433,0.08301019498671182,1,1527,5442,1736,5651
35,36,62761.81080538978,0.2087295284807052,0,43,0,0,-43
36,31,20819.563710535847,0.016379477806556204,1,647,7852,2090,9295
37,26,32828.20863930459,0.1295329724838246,1,991,11715,1486,12210
38,22,20569.368026338496,0.4253865884314174,1,327,10696,2768,13137
39,70,21114.160091029582,0.06662325152599473,1,990,5693,1617,6320
40,74,57860.54644523476,0.06083299695296787,1,137,5412,1480,6755
41,49,28207.047874821925,0.16676995092912067,0,11,0,0,-11
42,34,27114.11205040246,0.045155758756535484,1,75,13279,1823,15027
43,67,28948.213835981835,0.1950857393333027,0,14,0,0,-14
44,36,24643.899244582295,0.31030319389429933,0,117,0,0,-117
45,74,23537.95219006543,0.2530327398098288,1,82,10801,1634,12353
46,74,20408.73095704423,0.06172784395021104,1,88,11208,1721,12841
47,57,26446.810845522094,0.06940419778051511,1,925,5502,2169,6746
48,34,52503.50410568565,0.07591048568824338,0,18,0,0,-18
49,26,21690.477678104267,0.13694218988553342,1,843,8532,3989,11678
50,27,35015.31286516235,0.2091454523767007,0,20,0,0,-20
51,42,24472.37909614227,0.30259054460953105,1,379,5322,3393,8336
52,54,37940.67825525057,0.08172287308845028,1,658,5318,1664,6324
53,36,25752.975455746735,0.38740642603440895,1,15,5818,1606,7409
54,34,26973.348447165143,0.013676502310084755,1,160,5889,1848,7577
55,23,20108.15114009035,0.06040926795012852,0,110,0,0,-110
56,19,22862.992761589783,0.06502437543321574,1,871,6192,2541,7862
57,20,44393.33065441292,0.2634587790200797,1,332,28103,1814,29585
58,63,20711.534060251844,0.06796329931329108,1,1066,5275,1463,5672
59,70,42633.28347705475,0.255583181149591,0,95,0,0,-95
60,21,30741.919599864923,0.03794418380095148,1,236,5264,2687,7715
61,41,53308.893997473286,0.3013270529344787,0,73,0,0,-73
62,21,20011.84610010102,0.28742626244117103,1,641,6063,1658,7080
63,20,46368.36549396078,0.2400429680713009,0,84,0,0,-84
64,32,20668.28170208802,0.007316182755703594,1,303,6396,1533,7626
65,20,32820.07417027491,0.02778451801128564,1,476,5941,2793,8258
66,31,22026.372254658512,0.08818201075287438,1,503,8995,1620,10112
67,69,38992.56088683769,0.09998440824753453,1,764,6407,1931,7574
